Title_slug,Platform_Slug
soulcalibur,ios-(iphone/ipad)
grand-theft-auto-iii,ios-(iphone/ipad)
bioshock,ios-(iphone/ipad)
grand-theft-auto-san-andreas,ios-(iphone/ipad)
final-fantasy-ix,ios-(iphone/ipad)
star-wars-knights-of-the-old-republic,ios-(iphone/ipad)
company-of-heroes,ios-(iphone/ipad)
grand-theft-auto-chinatown-wars,ios-(iphone/ipad)
pac-man-championship-edition-dx,ios-(iphone/ipad)
street-fighter-iv,ios-(iphone/ipad)
hades,ios-(iphone/ipad)
resident-evil-4,ios-(iphone/ipad)
inside,ios-(iphone/ipad)
rock-band,ios-(iphone/ipad)
rome-total-war,ios-(iphone/ipad)
divinity-original-sin-ii-definitive-edition,ios-(iphone/ipad)
final-fantasy-vii,ios-(iphone/ipad)
chrono-trigger,ios-(iphone/ipad)
journey,ios-(iphone/ipad)
final-fantasy-vi,ios-(iphone/ipad)
tomb-raider-1996,ios-(iphone/ipad)
tony-hawks-pro-skater-2,ios-(iphone/ipad)
planescape-torment,ios-(iphone/ipad)
neverwinter-nights,ios-(iphone/ipad)
resident-evil-2,ios-(iphone/ipad)
balatro,ios-(iphone/ipad)
world-of-goo,ios-(iphone/ipad)
fifa-soccer-12,ios-(iphone/ipad)
fifa-soccer-10,ios-(iphone/ipad)
jack-jeanne,ios-(iphone/ipad)
limbo,ios-(iphone/ipad)
the-stanley-parable-ultra-deluxe,ios-(iphone/ipad)
fifa-soccer-13,ios-(iphone/ipad)
into-the-breach,ios-(iphone/ipad)
command-and-conquer-red-alert,ios-(iphone/ipad)
nba-2k12,ios-(iphone/ipad)
dragon-quest-viii-journey-of-the-cursed-king,ios-(iphone/ipad)
the-walking-dead-a-telltale-games-series,ios-(iphone/ipad)
dead-cells,ios-(iphone/ipad)
castlevania-symphony-of-the-night,ios-(iphone/ipad)
slay-the-spire,ios-(iphone/ipad)
gunstar-heroes,ios-(iphone/ipad)
jade-empire,ios-(iphone/ipad)
fez,ios-(iphone/ipad)
max-payne,ios-(iphone/ipad)
streets-of-rage-2,ios-(iphone/ipad)
xcom-enemy-unknown,ios-(iphone/ipad)
peggle,ios-(iphone/ipad)
disco-elysium-the-final-cut,ios-(iphone/ipad)
stardew-valley,ios-(iphone/ipad)
what-remains-of-edith-finch,ios-(iphone/ipad)
the-binding-of-isaac-rebirth,ios-(iphone/ipad)
the-secret-of-monkey-island-special-edition,ios-(iphone/ipad)
nba-2k17,ios-(iphone/ipad)
battlefield-bad-company-2,ios-(iphone/ipad)
the-world-ends-with-you,ios-(iphone/ipad)
xcom-enemy-within,ios-(iphone/ipad)
final-fantasy-tactics,ios-(iphone/ipad)
hearthstone-heroes-of-warcraft,ios-(iphone/ipad)
grand-theft-auto-liberty-city-stories,ios-(iphone/ipad)
medieval-ii-total-war,ios-(iphone/ipad)
sid-meiers-civilization-vi,ios-(iphone/ipad)
oddworld-strangers-wrath,ios-(iphone/ipad)
sid-meiers-pirates,ios-(iphone/ipad)
fifa-soccer-11,ios-(iphone/ipad)
night-in-the-woods,ios-(iphone/ipad)
need-for-speed-hot-pursuit,ios-(iphone/ipad)
nba-2k13,ios-(iphone/ipad)
halls-of-torment,ios-(iphone/ipad)
plants-vs-zombies,ios-(iphone/ipad)
subnautica,ios-(iphone/ipad)
football-manager-2010,ios-(iphone/ipad)
injustice-2,ios-(iphone/ipad)
the-witness,ios-(iphone/ipad)
baldurs-gate-dark-alliance,ios-(iphone/ipad)
critter-crunch,ios-(iphone/ipad)
crypt-of-the-necrodancer,ios-(iphone/ipad)
legends-of-runeterra,ios-(iphone/ipad)
super-monkey-ball-2,ios-(iphone/ipad)
mini-motorways,ios-(iphone/ipad)
immortality,ios-(iphone/ipad)
bully,ios-(iphone/ipad)
final-fantasy-vi-pixel-remaster,ios-(iphone/ipad)
grindstone,ios-(iphone/ipad)
company-of-heroes-opposing-fronts,ios-(iphone/ipad)
return-to-monkey-island,ios-(iphone/ipad)
super-monkey-ball,ios-(iphone/ipad)
flower,ios-(iphone/ipad)
sonic-mania-plus,ios-(iphone/ipad)
nba-2k16,ios-(iphone/ipad)
driver,ios-(iphone/ipad)
there-is-no-game-wrong-dimension,ios-(iphone/ipad)
tales-from-the-borderlands-episode-5-the-vault-of,ios-(iphone/ipad)
lostwinds-winter-of-the-melodias,ios-(iphone/ipad)
gone-home,ios-(iphone/ipad)
bustafellows,ios-(iphone/ipad)
overboard-2021,ios-(iphone/ipad)
might-and-magic-clash-of-heroes,ios-(iphone/ipad)
vampire-survivors,ios-(iphone/ipad)
the-sims-3,ios-(iphone/ipad)
her-story,ios-(iphone/ipad)
star-wars-knights-of-the-old-republic-ii-the-sit,ios-(iphone/ipad)
brothers-a-tale-of-two-sons,ios-(iphone/ipad)
star-wars-pinball,ios-(iphone/ipad)
bastion,ios-(iphone/ipad)
joe-danger,ios-(iphone/ipad)
resident-evil-7-biohazard,ios-(iphone/ipad)
monster-train,ios-(iphone/ipad)
steamworld-heist,ios-(iphone/ipad)
